,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1011,24765195,Superior twin room near SMU,108773366,RedDoorz,Central Region,Downtown Core,1.2969,103.85354,Private room,130,92,0,31/12/2022,0.88,30,365,0
1012,24781520,2 Single Capsules - Mixed Dorm,15745786,Quarters,Central Region,Singapore River,1.28709,103.84945,Shared room,140,92,0,31/12/2022,0.88,3,0,0
1013,24782626,Club Street Studio Apartment,23336011,Heritage,Central Region,Outram,1.28004,103.84691,Entire home/apt,125,92,6,2020-01-01,0.13,55,365,0
1014,24784280,One Bedroom For Stay In Heart of City,60182736,Huiting,Central Region,River Valley,1.29454,103.83825,Entire home/apt,125,92,1,2018-11-11,0.02,1,365,0
1015,24785006,Lavender QueenBed Rm1*: 5m walk MRT,2413412,Kaurus,Central Region,Kallang,1.30878,103.86242,Private room,49,92,1,2018-12-27,0.02,100,172,0
1016,24785613,"lavLoftbed Rm*A, no-sharing, wifi, mrt",2413412,Kaurus,Central Region,Kallang,1.3106,103.86266,Private room,30,92,1,2018-06-16,0.02,100,356,0
1017,24786824,4 Single Capsules - Mixed Dorm,15745786,Quarters,Central Region,Singapore River,1.28852,103.84865,Shared room,280,92,0,31/12/2022,0.88,3,0,0
1018,24787083,Single Capsule - Mixed Dorm,15745786,Quarters,Central Region,Singapore River,1.28726,103.84777,Shared room,63,92,0,31/12/2022,0.88,3,1,0
1019,24787313,Common room in the heart of little India,155391722,Steven,Central Region,Rochor,1.30957,103.85143,Private room,90,92,0,31/12/2022,0.88,1,365,0
1020,24835791,Master bed in condominium,187757773,Muk,West Region,Bukit Batok,1.35417,103.75086,Private room,90,92,0,31/12/2022,0.88,1,364,0
1021,24848765,Private Single Room @ Ang Mo Kio (Near MRT),22907669,Yong Han,North-East Region,Ang Mo Kio,1.3707,103.84236,Private room,18,180,0,31/12/2022,0.88,1,0,0
1022,24849782,TS,187844948,Ben,North-East Region,Ang Mo Kio,1.37003,103.84241,Private room,13,180,0,31/12/2022,0.88,1,0,0
1023,24855606,Awesome Ensuite Single Rm @ NUS NUH INSEAD,1439258,Joyce,Central Region,Queenstown,1.27939,103.78719,Private room,191,1,7,2020-04-04,0.14,50,365,0
1024,24857166,"Lovely Rm With Bathroom @ Haw Par Villa (205, 305)",18618387,Joyce,Central Region,Queenstown,1.2797,103.78603,Hotel room,223,1,14,2019-12-04,0.28,15,365,0
1025,24863189,Cozy ensuite master bedroom amongst a row of cafes,52897090,Elle,East Region,Bedok,1.31511,103.92026,Private room,55,92,54,2022-03-01,1.08,2,89,2
1026,24874562,City Hall Duplex Skylight Apartment,23336011,Heritage,Central Region,Downtown Core,1.29552,103.85402,Entire home/apt,200,92,7,2021-10-11,0.22,55,190,1
1027,24900530,1950s cozy window singlebed room @ lavender,8948251,Joey,Central Region,Kallang,1.31009,103.86182,Private room,25,92,0,31/12/2022,0.88,74,363,0
1028,24919927,Lavender QueenBed RmT*: 5m walk MRT,2413412,Kaurus,Central Region,Kallang,1.30907,103.86187,Private room,59,92,5,2020-08-17,0.14,100,172,0
1029,24940113,Accessible  Chic 1BR APT 5 mins from Redhill MRT,66406177,Jay,Central Region,Bukit Merah,1.28953,103.81936,Entire home/apt,140,92,0,31/12/2022,0.88,140,0,0
1030,24950322,Two-Bedroom Deluxe Apartment,178584113,Oakwood Premier AMTD,Central Region,Downtown Core,1.2758,103.84726,Hotel room,613,92,6,2020-12-17,0.13,6,124,0
1031,24972169,Downtown Ensuite 92M1,97878860,Chess,Central Region,Outram,1.2842,103.84255,Private room,69,92,1,2018-09-04,0.02,65,356,0
1032,24979153,Master bedroom 3 at Tiong Bahru/ Outram Park,188842185,Jj,Central Region,Bukit Merah,1.28286,103.83403,Private room,60,92,113,2021-06-03,0.88,1,0,0
1033,24984672,Entire Apartment @ Heritage Tiong Bahru+WIFI,187856464,Diane,Central Region,Bukit Merah,1.2835,103.8351,Entire home/apt,90,92,110,2021-03-20,0.88,1,0,0
1034,25022657,"LARGE STUDIO APARTMENT, MISTRI RD. CBD",156409670,Tia,Central Region,Downtown Core,1.27303,103.84586,Entire home/apt,145,92,0,31/12/2022,0.88,203,364,0
1035,25087117,Lavender Rare Balcony Room*: 5m walk MRT,2413412,Kaurus,Central Region,Kallang,1.31088,103.8604,Private room,59,92,2,2019-12-31,0.04,100,356,0
1036,25096569,Super High Flr Private Studio near Marinabay Sands,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28176,103.85212,Entire home/apt,100,92,0,31/12/2022,0.88,45,365,0
